模拟测试资料，仅用于智能体测试，不具任何法律效力
交易日期,账号,对方户名,摘要,收入万元,支出万元,余额万元
2026-01-05,6222-****-8891（模拟）,华东汽车电子有限公司（模拟）,销售回款,320.0,0,1420.0
2026-01-08,6222-****-8891（模拟）,深圳芯汇半导体有限公司（模拟）,芯片采购,0,280.0,1140.0
2026-01-12,6222-****-8891（模拟）,苏州嘉锐电路有限公司（模拟）,PCB采购,0,160.0,980.0
2026-01-15,6222-****-8891（模拟）,工资社保,工资及社保,0,92.0,888.0
2026-01-20,6222-****-8891（模拟）,苏州智成自动化有限公司（模拟）,销售回款,260.0,0,1148.0
2026-01-25,6222-****-8891（模拟）,税务局（模拟）,税费,0,48.0,1100.0
2026-01-28,6222-****-8891（模拟）,华东商业银行（模拟）,贷款利息,0,9.0,1091.0
2026-02-03,6222-****-8891（模拟）,无锡联创智能装备有限公司（模拟）,销售回款,210.0,0,1301.0
2026-02-06,6222-****-8891（模拟）,上海联芯电子元件有限公司（模拟）,电子元件采购,0,180.0,1121.0
2026-02-10,6222-****-8891（模拟）,深圳芯汇半导体有限公司（模拟）,芯片采购,0,240.0,881.0
2026-02-15,6222-****-8891（模拟）,工资社保,工资及社保,0,94.0,787.0
2026-02-18,6222-****-8891（模拟）,常州新能源控制有限公司（模拟）,销售回款,260.0,0,1047.0
2026-02-23,6222-****-8891（模拟）,房租及水电,经营费用,0,48.0,999.0
2026-02-27,6222-****-8891（模拟）,融资机构（模拟）,设备融资本息,0,18.0,981.0
2026-03-02,6222-****-8891（模拟）,华东汽车电子有限公司（模拟）,销售回款,360.0,0,1341.0
2026-03-05,6222-****-8891（模拟）,华东商业银行（模拟）,流动资金贷款到账,400.0,0,1741.0
2026-03-08,6222-****-8891（模拟）,深圳芯汇半导体有限公司（模拟）,芯片采购,0,320.0,1421.0
2026-03-11,6222-****-8891（模拟）,苏州嘉锐电路有限公司（模拟）,PCB采购,0,210.0,1211.0
2026-03-15,6222-****-8891（模拟）,工资社保,工资及社保,0,96.0,1115.0
2026-03-18,6222-****-8891（模拟）,苏州智成自动化有限公司（模拟）,销售回款,310.0,0,1425.0
2026-03-22,6222-****-8891（模拟）,无锡中科功率器件有限公司（模拟）,功率器件采购,0,190.0,1235.0
2026-03-25,6222-****-8891（模拟）,税务局（模拟）,税费,0,62.0,1173.0
2026-03-28,6222-****-8891（模拟）,华东商业银行（模拟）,贷款利息,0,10.0,1163.0
2026-03-31,6222-****-8891（模拟）,管理费用及零星支出,经营费用,0,68.0,1095.0
